"ID";"TotAreaM2";"WaterM2";"BuildUpM2";"OpenM2";"BRONnetwM";"accidents";"frequency";"BasisSchoolsAmsterdam";"BicyclePathsAmsterdamCrossings";"BronNetworkCrossings";"ChildDaycareAmsterdam2011";"HighAndUniAmsterdam2011";"OSMAlcoholBarsNightclubs";"OSMbikeBarriers2014";"OSMbusAndTramStops";"OSMcrossings";"OSMhostelsHotels";"OSMmotorwayJunctions";"OSMNetworkAmsterdamCrossings";"PriorityToRight";"SchoolsAmsterdam2011";"SecondarySchoolsAmsterdam2011";"SpecialSchoolsAmsterdam2011";"TrafficLightsAmsterdam"
121;40000;4998,18111109;0;35001,82;510,960500732;0;1;1;3;16;1;0;0;2;2;1;3;0;12;0;1;0;0;1
122;40000;4854,90683643;0;35145,09;271,634433846;0;21;1;4;34;1;0;0;1;2;10;2;0;15;0;1;0;0;1
123;40000;1654,10397947;0;38345,9;722,578666768;0;13;1;8;9;2;0;0;1;2;6;1;0;23;0;2;0;0;1
124;40000;5753,70078669;0;34246,3;204,248484571;0;5;1;10;6;1;0;0;1;2;1;11;0;26;0;2;0;0;1
125;40000;5144,89385123;0;34855,11;26,9035641139;0;5;1;3;6;2;0;0;1;1;1;3;0;21;0;1;0;0;1
126;40000;51,4144706786;0;39948,59;443,893836311;0;1;1;4;3;1;0;0;1;1;40;1;0;14;0;2;0;0;1
127;40000;11152,9672549;0;28847,03;419,852411939;0;4;1;2;21;1;0;0;1;2;6;1;0;11;0;1;0;0;1
128;40000;0;0;40000;76,4148019757;0;7;1;2;3;1;0;0;1;2;6;1;0;49;0;1;0;0;1
129;40000;12057,3807865;97,9176419794;27844,7;0;0;7;1;8;3;1;0;0;1;2;7;2;0;12;0;1;0;0;1
130;40000;1693,70393983;1917,0621068;36389,23;0;0;6;1;4;7;3;0;0;2;1;32;1;0;35;0;3;0;0;1
131;40000;734,909434878;3525,83581513;35739,25;0;0;72;1;3;3;3;0;0;4;2;6;1;0;8;0;2;0;0;1
132;40000;682,999837046;0;39317;0;0;8;1;8;24;3;0;0;2;1;1;1;0;26;0;1;0;0;1
133;40000;1029,32885792;0;38970,67;0;0;10;1;4;19;1;0;0;1;2;2;1;0;54;0;1;0;0;1
134;40000;6210,43872431;0;33789,56;0;0;2;1;3;28;1;0;0;4;2;1;1;0;21;0;1;0;0;1
135;40000;5484,8155504;0;34515,18;0;0;8;1;2;3;2;0;0;1;2;2;2;0;4;0;2;0;0;2
136;40000;12690,0200545;0;27309,98;0;0;1;1;4;13;2;0;0;1;2;6;1;0;11;0;3;0;0;1
137;40000;4197,68449477;0;35802,32;0;0;10;1;6;5;1;0;0;1;2;5;1;0;16;0;1;0;0;1
138;40000;834,127632849;0;39165,87;0;0;4;1;8;5;1;0;0;1;2;31;1;0;6;0;1;0;0;1
139;40000;4300,08986921;0;35699,91;0;0;6;1;19;7;1;0;0;1;1;14;1;0;3;0;1;0;0;1
140;40000;1511,61388908;0;38488,39;0;0;2;2;3;2;1;0;0;2;1;2;0;0;3;0;3;0;0;1
141;40000;2484,98835669;0;37515,01;0;0;8;2;12;18;1;0;0;1;2;4;0;0;25;0;2;0;0;1
142;40000;2402,9241432;0;37597,08;0;0;1;1;4;15;1;0;0;1;1;10;0;0;8;0;1;0;0;1
143;40000;7625,70190451;0;32374,3;0;0;17;1;5;31;3;0;0;1;2;8;0;0;42;0;6;0;0;1
144;40000;2175,58679879;0;37824,41;0;0;7;1;10;6;1;0;0;1;1;11;0;0;20;0;1;0;0;1
145;40000;1312,45760506;0;38687,54;0;0;29;1;9;32;1;0;0;2;2;6;0;0;19;0;3;0;0;1
146;40000;239,97438944;0;39760,03;0;0;2;2;7;12;1;0;0;1;2;3;0;0;25;0;1;0;0;1
147;40000;7499,75128111;0;32500,25;0;0;10;2;15;9;1;0;0;1;2;8;0;0;6;0;1;0;0;1
148;40000;96,1244787199;0;39903,88;0;0;10;1;2;25;1;0;0;1;2;8;0;0;8;0;1;0;0;1
149;40000;0;0;40000;0;0;2;1;3;6;3;0;0;2;2;3;0;0;19;0;5;0;0;1
150;40000;0;0;40000;0;0;5;1;2;6;2;0;0;2;3;2;0;0;32;0;2;0;0;1
151;40000;0;0;40000;0;0;9;1;5;10;1;0;0;4;2;2;0;0;27;0;1;0;0;2
152;40000;5916,06574737;3062,29059592;31021,64;483,093402598;205,429780983;1;1;10;28;1;0;0;3;1;8;0;0;18;0;1;0;0;1
153;40000;649,025650266;7673,56213354;31677,41;319,90633981;179,50167186;8;1;8;9;2;0;0;2;2;10;0;0;11;0;1;0;0;1
154;40000;40,7085495819;11020,2772802;28939,01;895,752927851;145,277400969;6;1;3;3;1;0;0;5;3;3;0;0;3;0;1;0;0;1
155;40000;288,356484524;8831,96568669;30879,68;565,251898226;54,6443119602;4;1;12;12;1;0;0;1;4;7;0;0;16;0;1;0;0;1
156;40000;1771,25529408;8597,16333553;29631,58;979,77101273;8,50865314638;1;1;2;7;1;0;0;1;2;2;0;0;29;0;1;0;0;1
157;40000;4671,74414922;4374,93904176;30953,32;372,620019224;441,171795811;15;1;14;2;1;0;0;1;2;2;0;0;23;0;1;0;0;1
158;40000;1614,42546955;7068,89631867;31316,68;1014,60724824;26,3045782036;1;1;2;3;1;0;0;3;1;7;0;0;23;0;1;0;0;1
159;40000;4152,25739513;7307,8724115;28539,87;569,722480736;105,659265491;17;1;4;3;1;0;0;1;1;5;0;0;26;0;2;0;0;1
160;40000;1276,0373024;4248,88626928;34475,08;1164,37606324;200,252031174;3;1;4;15;1;0;0;1;2;4;0;0;27;0;3;0;0;1
161;40000;1908,45811724;7026,87022514;31064,67;807,928123429;200,031150201;2;3;2;14;1;0;0;7;2;12;0;0;31;0;2;0;0;1
162;40000;3544,71015534;6104,45888435;30350,83;465,788016642;303,92822549;1;1;14;17;1;0;0;1;5;2;0;0;12;0;1;0;0;1
163;40000;1192,00550422;9235,18076914;29572,81;643,48297541;258,129865474;13;1;2;3;3;0;0;1;2;17;0;0;25;0;1;0;0;2
164;40000;275,455708014;12253,9517467;27470,59;861,523865595;77,5934048608;15;2;5;3;1;0;0;2;2;1;0;0;17;0;1;0;0;1
165;40000;882,056613369;7759,5002825;31358,44;614,963564515;228,016494645;5;1;26;3;2;0;0;1;1;7;0;0;2;0;1;0;0;1
166;40000;3329,58578575;824,45063298;35845,96;99,4410227467;43,1646339708;8;2;9;21;3;0;0;4;2;10;0;0;11;0;1;0;0;1
167;40000;2630,47902458;4811,21781571;32558,3;341,752158247;212,859044153;9;1;6;6;3;0;0;1;1;2;0;0;4;0;1;0;0;1
